U.S. Army Vet Richard Overton is not only the oldest World War II veteran but the oldest( and from the article, co;N ,CL,N,N,N ,name,N,J,N,N,N ,CL,N,J,(,N,,,N;11,0,2,0,0,0,0,2,0,1,0;0;0;0
"So very sad& amp; totally not acceptable gunviolence Black Lives Matter All Lives Matter";R,J ,name,CC,N,:,R,J,N,N ,name,V,N,N,V,N;6,2,2,0,2,0,0,0,0,2,0;0;0;0
Robert Reich: Trump is 30 Biggest Broken Promises mama Resist Blacklivesmatter ltq metro;N ,name,N ,name,:,N ,name,CD,N,N ,n,N,N,N,N,V,N;10,1,0,0,0,0,0,0,0,3,1;0;0;0
New blow post, trying to make sense of the kind of polarised world we have found ourselves in. blow stigma;N ,name,N ,n,N ,name,,,V,V,N,N ,name,V,N,N,.,N ,n,N ,n;9,3,0,0,0,0,0,0,0,3,3;0;0;0
Ya p. p. dont sign me up for sharia. No Thanks Stop Islam Ban Sharia;N,N,N,N,N,N ,name,.,DT,N,N,N,N ,name,N ,name;11,0,0,0,0,0,0,0,0,3,0;1;3;1
"Thanks 4 sharing the truth` Children tell us that their reports are often ignored& amp; recovery services simply do no";N,CD,V,J,N,V,P,N,R,V,CC,V,:,N,N,R;5,4,1,1,2,0,0,0,0,0,0;0;0;0
To make matters worse, jewel Roberson was just doing his job. He was a securithank you guard trying to protect these into;TO,V,N,J ,n,,,N ,name,N ,name,N ,name,.,P,V,R,V,N;5,3,1,1,1,0,0,0,0,3,1;0;0;0
where the and to defend the securithank you guard? I thought we needed more armed guards. I due;N,N,N,QUE,P,V,V,J,N,.,P,J;4,2,2,2,0,0,1,0,0,0,0;0;0;0
Only small, delicate people are innocuous enough to walk on public streets in the US. Oh, and white people. demand;R,J ,name,,,J,N,J,J,N,J,V,P ,CL,.,UH,,,J ,name,N,.,N;4,1,6,1,1,0,0,1,0,2,0;0;0;0
I eve spoken out about my experiences of bullying over the last year and at the start of this year is;P,V ,name,J,N,V ,n,J,N,V,N;3,3,2,1,0,0,0,0,0,1,1;0;0;0
Do n't ever tell me there is n't racism and internal bias in our police system. jamelroberson Black Lives Matter;V,R,R,V,R,N ,n,J,N ,n,N,N,.,N,N ,name,V,N;7,3,1,0,3,0,0,0,0,1,2;0;0;0
Thank you for giving me the opportunithank you to share my story to raise awareness of autism-related bullying;N,V,J,N,N ,name,V,J,J,N ,n;4,2,3,0,0,0,0,0,0,1,1;0;0;0
BBC News- Outcry after police shoot African-American securithank you guard hero' Murder, plain a;N ,CL,N,N ,n,N,V,J ,CL,N,N,N,'',N ,n,,,N;9,1,1,0,0,0,0,2,0,0,2;0;0;0
TO ALL BILLIONAIRE PHILANTHROCAPITALIST VULTURES, THE KIDS WILL RISE!! YOU CAN NOT HAVE THEIR MINDS!! blacktwitter;TO ,CL,DT ,CL,N ,CL,N ,CL,N ,CL,,,DT ,CL,N ,CL,MD ,CL ,name,N ,CL ,name,EXCL,EXCL,P ,CL,MD ,CL ,name,R ,CL,V ,CL,P ,CL,N ,CL,EXCL,EXCL,N;7,1,0,2,1,4,0,15,0,3,0;1;2;0
This is what liberals believe the world will be like after gun control Liberals Gun Control Now and Amendment democrat;DT,N,V,N,IN,N ,name,N,N,N ,name,N,R,N,N;9,1,0,0,1,0,0,0,0,2,0;0;0;0
